req_id,client_id,job_title,job_category,employment_type,location,priority,openings,bill_rate,pay_rate,open_date,target_close_date,status,recruiter_owner
32,48,Java Developer,IT,Permanent,"McLean, VA",High,1,0.0,68906.42,2022-08-18,2022-12-09,Open,8
33,2,Cybersecurity Analyst,IT,Permanent,"Los Angeles, CA",High,10,0.0,76428.68,2023-04-30,2023-08-23,Open,15
34,17,Compliance Officer,Finance,Contract,"Newark, NJ",High,5,63.42,46.98,2024-01-06,2024-02-19,Open,19
35,20,Java Developer,IT,Permanent,"Boston, MA",High,10,0.0,115801.05,2023-02-11,2023-04-07,Open,4
36,50,Compliance Officer,Finance,Contract,"San Jose, CA",High,6,118.02,87.34,2024-03-26,2024-07-06,Closed,14
37,24,Risk Analyst,Finance,Contract,"Philadelphia, PA",High,7,90.48,64.61,2024-04-22,2024-07-23,Open,21
38,30,Telecom Engineer,Telecom,Contract,"Nashville, TN",Low,8,84.84,63.92,2022-10-04,2023-01-20,Filled,14
39,47,Mechanical Engineer,Manufacturing,Permanent,"Chicago, IL",Medium,8,0.0,85129.67,2024-04-30,2024-06-10,Open,25
40,37,LPN,Healthcare,Permanent,"Charlotte, NC",Medium,3,0.0,115114.14,2022-01-30,2022-05-03,Filled,7
41,17,Business Analyst,IT,Contract,"Seattle, WA",Low,4,72.37,53.53,2023-07-24,2023-08-24,Open,8
42,27,Accounting Manager,Finance,Contract-to-Hire,"Orlando, FL",Medium,1,94.41,66.47,2023-10-24,2024-01-24,Open,10
43,26,Network Engineer,IT,Contract,"Orlando, FL",Medium,7,74.5,54.99,2023-07-21,2023-10-26,Closed,11
44,45,Business Analyst,IT,Contract-to-Hire,"San Jose, CA",Medium,2,71.67,50.54,2024-01-09,2024-03-03,Closed,25
45,12,Compliance Officer,Finance,Contract,"Newark, NJ",Low,5,67.31,49.03,2023-08-27,2023-12-02,Open,7
46,15,React Developer,IT,Contract,"Columbus, OH",High,1,64.36,43.86,2022-05-10,2022-07-14,Closed,10
47,9,Compliance Officer,Finance,Contract-to-Hire,"Atlanta, GA",Medium,6,58.21,39.65,2023-04-26,2023-07-26,Open,2
48,31,Cloud Architect,IT,Contract,"Houston, TX",High,3,115.77,83.36,2023-08-14,2023-12-02,Open,19
49,6,React Developer,IT,Contract,"Phoenix, AZ",High,9,59.48,44.99,2023-09-03,2023-12-21,Filled,15
50,29,Actuary,Insurance,Contract,"Atlanta, GA",High,10,118.81,92.55,2023-08-06,2023-11-23,Open,25
51,41,Cybersecurity Analyst,IT,Contract,"Chicago, IL",High,3,71.17,48.97,2022-06-27,2022-10-05,Open,14
52,45,LPN,Healthcare,Permanent,"Dallas, TX",Medium,8,0.0,100243.44,2022-08-26,2022-10-31,Open,22
53,17,Network Engineer,IT,Permanent,"New York, NY",Low,4,0.0,114588.73,2023-03-12,2023-04-25,Open,9
54,10,Mechanical Engineer,Manufacturing,Contract,"Phoenix, AZ",Medium,8,54.77,41.58,2024-02-06,2024-05-18,Open,15
55,20,Compliance Officer,Finance,Contract-to-Hire,"Orlando, FL",Low,1,125.41,91.56,2023-03-25,2023-05-04,Filled,24
56,39,SQL Developer,IT,Contract,"Minneapolis, MN",High,5,52.07,36.6,2023-08-13,2023-11-26,Closed,2
57,49,Credit Analyst,Finance,Contract,"Seattle, WA",Medium,8,87.64,65.31,2022-07-05,2022-10-17,Open,16
58,27,Business Analyst,IT,Contract,"San Francisco, CA",Medium,5,75.68,52.25,2022-12-04,2023-02-24,Filled,25
59,3,Pharmacy Tech,Healthcare,Contract-to-Hire,"San Jose, CA",Low,1,57.04,40.23,2024-03-02,2024-05-22,Closed,15
60,4,RN - ER,Healthcare,Contract,"Orlando, FL",High,4,91.48,67.9,2023-10-03,2023-12-28,Open,18
61,19,Data Engineer,IT,Contract-to-Hire,"Austin, TX",High,3,120.47,87.76,2023-10-08,2024-01-23,Open,18
62,36,Java Developer,IT,Contract-to-Hire,"San Jose, CA",High,8,57.46,44.77,2023-04-18,2023-06-02,Open,17
63,18,Compliance Officer,Finance,Contract-to-Hire,"Chicago, IL",High,7,116.78,90.86,2023-04-13,2023-07-22,Open,20
64,48,Medical Coder,Healthcare,Contract,"Philadelphia, PA",Medium,1,119.12,84.29,2022-12-15,2023-03-19,Open,24
65,38,React Developer,IT,Permanent,"Orlando, FL",Low,8,0.0,139917.67,2022-06-02,2022-08-28,Open,11
66,49,Pharmacy Tech,Healthcare,Permanent,"Charlotte, NC",High,10,0.0,93290.75,2022-07-13,2022-11-09,Filled,8
67,50,Supply Chain Analyst,Logistics,Contract-to-Hire,"Portland, OR",Medium,3,53.49,40.36,2024-04-10,2024-06-27,Filled,2
68,33,Data Engineer,IT,Permanent,"San Jose, CA",Low,8,0.0,89899.6,2023-03-27,2023-05-08,Open,24
69,27,Data Engineer,IT,Contract,"Seattle, WA",Medium,2,55.99,42.45,2022-12-13,2023-04-01,Open,22
70,35,Supply Chain Analyst,Logistics,Contract-to-Hire,"Baltimore, MD",High,10,126.33,93.82,2023-05-15,2023-08-22,Open,8
71,44,Financial Analyst,Finance,Contract,"Philadelphia, PA",High,8,129.79,97.95,2022-04-11,2022-07-31,Open,23
72,2,React Developer,IT,Contract,"McLean, VA",High,4,75.95,52.07,2023-01-19,2023-04-14,Closed,14
73,44,Clinical Data Manager,Pharma,Contract,"Boston, MA",High,8,63.6,43.75,2023-09-27,2024-01-22,Closed,5
74,30,Network Engineer,IT,Contract,"Denver, CO",Low,3,86.77,64.79,2022-10-22,2023-02-15,Open,15
75,38,Business Analyst,IT,Contract,"Seattle, WA",High,7,101.12,73.05,2023-04-13,2023-06-20,Filled,4
76,25,Network Engineer,IT,Permanent,"Atlanta, GA",High,7,0.0,91921.94,2023-12-18,2024-02-23,Open,1
77,44,Clinical Data Manager,Pharma,Contract,"Atlanta, GA",Low,6,122.85,92.69,2024-03-05,2024-05-03,Open,21
78,40,Cybersecurity Analyst,IT,Contract,"Minneapolis, MN",High,1,104.22,78.38,2023-11-29,2024-01-15,Open,15
79,38,Python Developer,IT,Contract,"Atlanta, GA",High,4,108.59,74.82,2022-12-01,2023-02-22,Open,18
80,24,Telecom Engineer,Telecom,Permanent,"Seattle, WA",Medium,8,0.0,102634.61,2024-04-30,2024-06-20,Open,24
81,22,Supply Chain Analyst,Logistics,Contract,"Baltimore, MD",Medium,9,87.47,60.14,2022-08-20,2022-12-14,Open,3
82,26,Project Engineer,Energy,Contract,"McLean, VA",Medium,10,71.16,49.27,2023-11-20,2024-03-15,Filled,21
83,7,Business Analyst,IT,Contract,"Columbus, OH",High,2,87.72,65.08,2022-12-02,2023-03-20,Filled,23
84,42,React Developer,IT,Contract-to-Hire,"Dallas, TX",High,2,59.33,40.61,2022-11-08,2023-02-09,Open,18
85,25,Data Engineer,IT,Contract-to-Hire,"Portland, OR",Low,3,79.68,61.75,2023-07-08,2023-09-29,Filled,21
86,32,DevOps Engineer,IT,Permanent,"Seattle, WA",Medium,4,0.0,95608.69,2022-02-03,2022-06-01,Filled,15
87,24,Network Engineer,IT,Contract,"Nashville, TN",Medium,5,128.47,92.08,2023-01-03,2023-02-09,Open,4
88,30,Supply Chain Analyst,Logistics,Contract,"Phoenix, AZ",Medium,4,103.02,76.66,2022-01-22,2022-02-27,Open,19
89,5,Cybersecurity Analyst,IT,Permanent,"New York, NY",Medium,3,0.0,80536.8,2024-04-12,2024-06-10,Closed,1
90,10,Cloud Architect,IT,Contract,"San Jose, CA",High,1,93.22,70.83,2023-11-08,2023-12-11,Open,8
91,21,Clinical Data Manager,Pharma,Contract,"Newark, NJ",High,2,63.94,43.81,2023-03-08,2023-06-13,Filled,15
92,24,Credit Analyst,Finance,Permanent,"Denver, CO",Low,1,0.0,109524.95,2023-05-31,2023-07-28,Closed,10
93,42,LPN,Healthcare,Contract,"Boston, MA",High,8,54.87,39.94,2023-03-13,2023-07-08,Filled,3
94,6,Telecom Engineer,Telecom,Contract,"Seattle, WA",Low,9,98.66,67.74,2023-10-02,2024-01-21,Open,13
95,34,Radiologist Technician,Healthcare,Contract,"San Jose, CA",High,9,86.3,63.91,2024-03-23,2024-07-20,Open,14
96,15,LPN,Healthcare,Contract-to-Hire,"Philadelphia, PA",Medium,7,77.11,55.93,2024-01-18,2024-02-29,Open,22
97,24,Cloud Architect,IT,Contract,"Houston, TX",Medium,2,104.95,76.34,2022-03-29,2022-05-09,Open,5
98,4,Pharmacy Tech,Healthcare,Permanent,"Columbus, OH",High,7,0.0,136746.85,2022-12-04,2023-03-29,Open,22
99,28,Credit Analyst,Finance,Contract,"McLean, VA",Low,4,127.47,94.33,2022-04-17,2022-07-29,Open,22
100,15,Physical Therapist,Healthcare,Contract,"San Jose, CA",Low,4,78.01,57.39,2024-02-20,2024-04-25,Filled,18
101,40,Credit Analyst,Finance,Permanent,"Columbus, OH",Medium,1,0.0,115623.25,2022-01-27,2022-05-14,Open,9
102,49,Compliance Officer,Finance,Contract,"San Francisco, CA",Medium,2,123.72,88.47,2022-05-27,2022-09-06,Open,24
103,2,Financial Analyst,Finance,Contract,"Philadelphia, PA",High,6,109.69,76.95,2023-04-10,2023-06-22,Open,24
104,50,SQL Developer,IT,Permanent,"Dallas, TX",Low,1,0.0,109716.78,2022-06-09,2022-07-29,Open,9
105,43,LPN,Healthcare,Contract-to-Hire,"Seattle, WA",High,6,88.85,64.35,2022-08-09,2022-11-12,Filled,4
106,44,React Developer,IT,Permanent,"Minneapolis, MN",High,7,0.0,101497.46,2022-11-12,2022-12-17,Closed,2
107,14,Java Developer,IT,Contract,"Baltimore, MD",Medium,2,125.63,95.07,2022-09-19,2022-11-25,Open,16
108,28,Accounting Manager,Finance,Contract,"Chicago, IL",Medium,2,60.33,44.24,2023-05-28,2023-09-06,Filled,24
109,28,Python Developer,IT,Contract,"Charlotte, NC",Low,7,86.78,59.69,2023-08-13,2023-11-05,Filled,10
110,26,DevOps Engineer,IT,Contract,"Phoenix, AZ",Medium,2,127.3,88.75,2023-04-17,2023-08-13,Filled,4
111,28,Network Engineer,IT,Permanent,"Houston, TX",Medium,4,0.0,95033.74,2023-02-10,2023-04-20,Open,25
112,5,Salesforce Developer,IT,Permanent,"Miami, FL",Medium,6,0.0,112491.85,2023-06-07,2023-07-31,Open,8
113,10,DevOps Engineer,IT,Contract,"Baltimore, MD",High,3,65.78,48.69,2024-02-17,2024-06-09,Filled,15
114,37,Credit Analyst,Finance,Permanent,"Detroit, MI",Low,6,0.0,98667.89,2023-10-21,2024-02-09,Open,5
115,5,LPN,Healthcare,Contract-to-Hire,"Seattle, WA",Medium,9,85.38,60.64,2023-08-29,2023-10-05,Open,10
116,29,LPN,Healthcare,Contract,"Houston, TX",Low,10,54.55,41.63,2023-10-23,2023-12-03,Closed,13
117,38,LPN,Healthcare,Permanent,"Newark, NJ",Low,4,0.0,136567.36,2022-02-12,2022-05-10,Open,20
118,33,Physical Therapist,Healthcare,Contract,"Charlotte, NC",Low,3,126.62,91.81,2024-01-02,2024-02-11,Open,8
119,29,Compliance Officer,Finance,Contract-to-Hire,"McLean, VA",Medium,7,91.93,68.12,2023-01-17,2023-03-24,Open,22
120,4,Radiologist Technician,Healthcare,Contract,"Minneapolis, MN",Medium,10,55.27,38.11,2023-01-31,2023-04-07,Open,11
121,38,.NET Developer,IT,Contract,"Nashville, TN",Medium,3,123.34,87.7,2023-12-17,2024-04-09,Closed,23
122,20,.NET Developer,IT,Permanent,"Charlotte, NC",Low,2,0.0,93250.95,2024-04-12,2024-05-28,Filled,17
123,2,Business Analyst,IT,Contract,"Charlotte, NC",High,4,74.71,57.91,2024-02-24,2024-05-26,Open,5
124,19,.NET Developer,IT,Contract,"Newark, NJ",Medium,10,90.62,66.51,2023-06-24,2023-07-28,Open,20
125,10,RN - ICU,Healthcare,Contract,"Phoenix, AZ",Medium,1,64.47,48.31,2024-04-08,2024-05-29,Filled,12
126,47,Risk Analyst,Finance,Contract,"Baltimore, MD",High,9,127.57,94.54,2024-02-06,2024-05-03,Open,10
127,31,Project Engineer,Energy,Contract,"Denver, CO",Medium,9,79.43,61.54,2023-04-18,2023-06-23,Closed,14
128,13,Salesforce Developer,IT,Permanent,"Seattle, WA",Medium,6,0.0,75379.89,2022-02-23,2022-06-15,Closed,4
129,34,Compliance Officer,Finance,Contract,"Seattle, WA",High,7,72.81,55.07,2023-04-06,2023-07-10,Open,8
130,29,Mechanical Engineer,Manufacturing,Contract,"Boston, MA",High,7,124.44,89.78,2023-05-30,2023-08-15,Open,12
131,2,Network Engineer,IT,Contract,"Nashville, TN",High,1,124.47,95.08,2022-12-10,2023-01-27,Open,16
132,9,Compliance Officer,Finance,Contract-to-Hire,"Houston, TX",High,3,85.89,58.45,2022-01-20,2022-03-23,Closed,24
133,34,Radiologist Technician,Healthcare,Contract-to-Hire,"Atlanta, GA",High,7,58.89,41.74,2022-05-05,2022-06-10,Closed,15
134,8,.NET Developer,IT,Contract-to-Hire,"Miami, FL",High,5,97.74,66.62,2023-08-12,2023-10-11,Filled,1
135,23,Radiologist Technician,Healthcare,Contract,"Minneapolis, MN",Medium,2,95.65,66.83,2022-03-29,2022-07-04,Closed,18
136,33,Medical Coder,Healthcare,Permanent,"Orlando, FL",Medium,6,0.0,66525.07,2022-02-14,2022-06-05,Open,24
137,23,Java Developer,IT,Contract,"Nashville, TN",Medium,3,77.58,58.44,2022-04-17,2022-07-30,Open,12
138,22,Pharmacy Tech,Healthcare,Contract,"Portland, OR",High,3,116.43,87.14,2023-05-06,2023-08-24,Open,23
139,30,Credit Analyst,Finance,Contract,"New York, NY",Medium,9,73.48,50.29,2022-02-12,2022-04-23,Filled,18
140,17,Physical Therapist,Healthcare,Contract,"McLean, VA",Medium,5,110.26,77.08,2024-03-10,2024-04-15,Open,12
141,26,RN - ER,Healthcare,Contract-to-Hire,"San Francisco, CA",Medium,6,121.57,87.37,2023-05-24,2023-09-19,Closed,9
142,6,Project Engineer,Energy,Contract-to-Hire,"San Francisco, CA",Medium,2,56.31,41.68,2023-07-13,2023-09-18,Open,11
143,19,Risk Analyst,Finance,Contract,"San Francisco, CA",Medium,8,85.67,64.4,2023-12-08,2024-03-03,Open,24
144,23,Supply Chain Analyst,Logistics,Permanent,"Seattle, WA",High,7,0.0,139861.29,2023-10-17,2023-11-23,Open,17
145,48,Project Engineer,Energy,Contract,"Phoenix, AZ",High,3,126.22,87.63,2023-11-26,2024-02-20,Open,8
146,42,Credit Analyst,Finance,Contract,"Dallas, TX",Medium,6,78.97,61.2,2023-09-12,2023-10-31,Open,15
147,5,Credit Analyst,Finance,Permanent,"McLean, VA",Medium,4,0.0,75327.13,2023-02-12,2023-04-23,Open,1
148,12,Accounting Manager,Finance,Contract-to-Hire,"San Jose, CA",Medium,4,91.42,70.52,2022-09-26,2022-11-28,Closed,10
149,32,Compliance Officer,Finance,Contract,"Denver, CO",High,6,59.81,45.77,2022-06-26,2022-09-20,Open,23
150,36,.NET Developer,IT,Permanent,"Atlanta, GA",High,6,0.0,86777.17,2022-06-11,2022-10-09,Closed,8
151,13,DevOps Engineer,IT,Contract,"McLean, VA",Medium,8,68.94,50.28,2023-07-22,2023-11-02,Closed,5
152,6,Radiologist Technician,Healthcare,Contract,"Newark, NJ",Medium,7,74.74,58.29,2023-05-06,2023-08-11,Closed,3
153,21,Data Engineer,IT,Contract,"McLean, VA",Low,3,86.0,64.33,2022-05-12,2022-08-20,Open,14
154,4,Medical Coder,Healthcare,Contract,"San Francisco, CA",High,6,91.45,64.97,2022-11-27,2023-03-27,Closed,10
155,6,Supply Chain Analyst,Logistics,Contract,"Seattle, WA",Medium,10,65.7,50.96,2022-05-09,2022-08-27,Closed,3
156,42,Medical Coder,Healthcare,Contract,"San Francisco, CA",Low,6,97.34,71.84,2023-11-06,2024-02-23,Closed,2
157,2,Mechanical Engineer,Manufacturing,Contract,"Detroit, MI",High,10,53.64,39.92,2022-09-29,2023-01-20,Filled,20
158,2,Financial Analyst,Finance,Contract-to-Hire,"Nashville, TN",High,7,121.12,88.97,2022-11-06,2023-02-05,Open,15
159,45,.NET Developer,IT,Contract,"Denver, CO",Low,3,62.65,45.21,2022-07-28,2022-10-09,Open,23
160,47,SQL Developer,IT,Contract,"McLean, VA",High,6,128.03,88.73,2023-06-12,2023-09-21,Open,15
161,18,DevOps Engineer,IT,Contract-to-Hire,"Atlanta, GA",Medium,4,69.83,48.16,2023-01-29,2023-05-17,Open,11
162,37,Actuary,Insurance,Contract,"Miami, FL",Medium,8,65.19,45.37,2023-04-24,2023-07-26,Open,3
163,33,RN - ICU,Healthcare,Contract-to-Hire,"McLean, VA",Medium,8,127.33,89.32,2022-02-19,2022-03-27,Closed,21
164,31,Risk Analyst,Finance,Contract,"Philadelphia, PA",Medium,7,92.94,71.07,2022-05-18,2022-07-20,Open,2
165,4,RN - ICU,Healthcare,Permanent,"McLean, VA",High,7,0.0,107136.26,2023-07-21,2023-09-25,Closed,15
166,36,Credit Analyst,Finance,Contract,"Phoenix, AZ",High,7,116.02,86.12,2022-05-02,2022-06-17,Open,11
167,24,Pharmacy Tech,Healthcare,Contract,"Miami, FL",High,3,65.92,48.18,2022-02-11,2022-03-18,Open,16
168,30,Medical Coder,Healthcare,Contract,"Charlotte, NC",High,7,98.5,72.06,2023-09-20,2023-11-29,Closed,24
169,20,Mechanical Engineer,Manufacturing,Permanent,"Miami, FL",Low,5,0.0,90228.01,2023-06-30,2023-09-30,Filled,1
170,22,Business Analyst,IT,Contract,"Newark, NJ",High,10,128.39,94.8,2023-12-06,2024-03-25,Filled,9
171,50,Financial Analyst,Finance,Permanent,"Newark, NJ",Medium,3,0.0,108322.58,2022-02-22,2022-06-06,Closed,21
172,40,Accounting Manager,Finance,Contract-to-Hire,"Dallas, TX",High,4,61.82,46.25,2023-08-10,2023-12-07,Open,15
173,27,SQL Developer,IT,Contract,"Miami, FL",Medium,1,83.04,58.16,2024-03-04,2024-06-20,Open,17
174,36,Cybersecurity Analyst,IT,Contract,"Boston, MA",Medium,9,129.85,94.51,2022-11-18,2023-01-09,Open,18
175,44,Business Analyst,IT,Contract,"Chicago, IL",Medium,4,98.81,69.09,2022-10-13,2023-01-22,Open,25
176,46,React Developer,IT,Contract,"Orlando, FL",Medium,5,105.22,76.69,2022-12-24,2023-04-04,Open,19
177,35,Risk Analyst,Finance,Contract-to-Hire,"McLean, VA",Medium,1,121.66,87.53,2024-03-02,2024-04-19,Open,23
178,23,.NET Developer,IT,Contract-to-Hire,"New York, NY",Medium,9,102.48,77.35,2022-07-26,2022-11-01,Open,5
179,40,DevOps Engineer,IT,Permanent,"Dallas, TX",High,4,0.0,82946.15,2023-11-17,2024-02-22,Open,4
180,22,RN - ER,Healthcare,Contract-to-Hire,"Austin, TX",Medium,8,58.04,43.94,2023-07-18,2023-09-06,Filled,21
181,49,Cybersecurity Analyst,IT,Contract,"Baltimore, MD",Low,4,75.69,56.36,2022-04-02,2022-07-24,Closed,24
182,3,Accounting Manager,Finance,Contract,"Dallas, TX",High,5,83.43,63.72,2023-02-11,2023-05-15,Open,1
183,37,React Developer,IT,Permanent,"Charlotte, NC",Low,9,0.0,73047.55,2022-10-19,2023-01-15,Filled,5
184,33,Supply Chain Analyst,Logistics,Contract-to-Hire,"Charlotte, NC",Medium,3,71.83,54.65,2022-06-16,2022-09-12,Open,24
185,19,SQL Developer,IT,Permanent,"New York, NY",Medium,7,0.0,115580.09,2022-06-29,2022-10-15,Closed,11
186,26,.NET Developer,IT,Contract,"Charlotte, NC",Medium,7,64.78,44.96,2022-09-12,2022-10-12,Open,15
187,18,Credit Analyst,Finance,Contract,"Austin, TX",Medium,4,74.16,55.79,2022-09-25,2023-01-16,Open,22
188,30,DevOps Engineer,IT,Contract,"Portland, OR",High,5,62.78,47.0,2024-02-28,2024-05-07,Open,20
189,15,Network Engineer,IT,Contract,"Phoenix, AZ",Low,8,88.25,64.03,2023-01-18,2023-04-11,Closed,22
190,14,Mechanical Engineer,Manufacturing,Contract,"Houston, TX",Low,6,104.43,77.23,2023-06-23,2023-09-18,Open,19
191,4,DevOps Engineer,IT,Permanent,"New York, NY",High,3,0.0,132716.61,2023-08-10,2023-11-16,Open,17
192,8,LPN,Healthcare,Contract,"Miami, FL",Medium,3,107.35,78.25,2023-04-02,2023-05-09,Closed,14
193,37,LPN,Healthcare,Contract,"Atlanta, GA",Medium,5,94.7,70.77,2024-01-11,2024-02-12,Open,24
194,38,Cybersecurity Analyst,IT,Contract,"Houston, TX",High,8,53.62,38.31,2023-07-09,2023-08-15,Open,10
195,12,RN - ER,Healthcare,Contract,"Nashville, TN",Medium,8,111.27,86.55,2023-03-07,2023-05-23,Filled,13
196,44,.NET Developer,IT,Permanent,"McLean, VA",Low,7,0.0,74974.24,2022-05-02,2022-06-23,Closed,5
197,15,Accounting Manager,Finance,Contract,"Denver, CO",Medium,9,110.49,85.94,2023-11-21,2024-02-28,Filled,8
198,30,Network Engineer,IT,Contract,"Newark, NJ",High,7,62.41,43.62,2024-02-23,2024-04-07,Closed,25
199,2,Actuary,Insurance,Contract,"Dallas, TX",High,4,66.49,45.88,2023-04-03,2023-07-18,Open,13
200,15,LPN,Healthcare,Permanent,"Baltimore, MD",Low,5,0.0,81295.19,2022-02-27,2022-04-15,Open,24
201,21,Clinical Data Manager,Pharma,Permanent,"Minneapolis, MN",High,5,0.0,109843.83,2024-04-18,2024-06-28,Open,22
202,15,Medical Coder,Healthcare,Contract-to-Hire,"Detroit, MI",Medium,9,74.04,50.8,2024-01-23,2024-03-15,Filled,2
203,42,Business Analyst,IT,Contract-to-Hire,"Philadelphia, PA",Medium,7,112.86,80.34,2023-02-23,2023-04-13,Open,25
204,31,Pharmacy Tech,Healthcare,Contract,"Portland, OR",High,9,117.95,83.75,2022-05-28,2022-08-25,Filled,14
205,34,Pharmacy Tech,Healthcare,Contract,"Charlotte, NC",Medium,6,81.07,57.19,2023-10-25,2023-12-04,Open,18
206,13,Accounting Manager,Finance,Contract,"Phoenix, AZ",High,10,71.48,53.42,2022-02-10,2022-03-21,Closed,7
207,14,Physical Therapist,Healthcare,Contract,"New York, NY",Medium,4,74.26,57.25,2022-07-14,2022-08-28,Closed,23
208,26,Cybersecurity Analyst,IT,Contract,"Boston, MA",Medium,5,94.17,71.34,2023-04-23,2023-07-30,Open,12
209,32,Medical Coder,Healthcare,Contract-to-Hire,"Orlando, FL",High,6,57.89,45.05,2024-02-19,2024-04-29,Open,14
210,37,Python Developer,IT,Contract,"Columbus, OH",Medium,5,109.3,74.5,2023-08-22,2023-12-04,Open,7
211,15,SQL Developer,IT,Contract-to-Hire,"Columbus, OH",Medium,5,95.58,67.34,2023-11-02,2024-02-27,Filled,24
212,48,Financial Analyst,Finance,Contract-to-Hire,"McLean, VA",Low,8,86.87,65.44,2022-06-23,2022-08-09,Open,18
213,4,Financial Analyst,Finance,Permanent,"Houston, TX",High,1,0.0,67536.78,2024-04-17,2024-08-10,Filled,5
214,41,Mechanical Engineer,Manufacturing,Contract,"New York, NY",Medium,1,55.44,38.54,2023-06-02,2023-08-29,Closed,21
215,40,Risk Analyst,Finance,Contract-to-Hire,"Columbus, OH",High,1,102.74,70.02,2023-07-19,2023-10-09,Closed,24
216,35,Cloud Architect,IT,Contract,"Minneapolis, MN",High,2,51.37,39.11,2023-03-17,2023-05-08,Closed,5
217,13,Network Engineer,IT,Permanent,"McLean, VA",High,6,0.0,104484.2,2022-10-01,2022-12-20,Filled,15
218,16,Clinical Data Manager,Pharma,Contract,"Houston, TX",High,2,74.0,56.45,2023-11-01,2024-02-22,Filled,13
219,36,RN - ICU,Healthcare,Contract-to-Hire,"San Francisco, CA",Medium,6,54.49,37.1,2022-03-26,2022-06-27,Closed,4
