activity_id,recruiter_id,activity_date,calls_made,emails_sent,submissions,interviews_scheduled,placements
72,1,2022-03-21,17,45,8,2,0
73,1,2024-04-29,11,34,3,3,2
74,1,2022-10-24,44,22,1,2,0
75,1,2022-08-29,13,38,7,3,2
76,1,2022-03-14,27,55,2,1,0
77,1,2024-04-22,20,48,5,1,0
78,1,2023-01-30,38,51,8,0,0
79,1,2024-06-03,17,56,7,4,2
80,1,2022-05-02,35,40,8,5,2
81,1,2024-01-08,40,66,2,0,0
82,1,2022-04-11,11,43,7,1,1
83,1,2022-08-22,12,58,0,2,2
84,1,2023-05-15,36,27,8,0,2
85,1,2022-01-17,24,48,0,5,1
86,1,2022-07-25,36,41,3,4,1
87,1,2024-04-15,24,46,4,3,1
88,1,2022-02-28,44,59,1,3,0
89,1,2022-10-31,36,51,5,2,0
90,1,2022-12-05,43,33,4,5,1
91,1,2022-05-30,45,33,8,0,2
92,1,2023-03-13,11,40,6,2,0
93,1,2022-11-21,13,31,7,5,0
94,1,2022-11-07,38,49,0,0,2
95,1,2023-09-04,20,57,7,3,0
96,1,2022-02-14,34,67,5,2,1
97,1,2024-01-08,25,37,5,0,0
98,1,2023-07-24,43,36,2,5,1
99,1,2023-09-25,39,64,6,2,0
100,1,2023-05-08,34,21,7,4,2
101,1,2023-04-24,17,34,2,4,1
102,1,2024-02-26,41,65,5,3,1
103,1,2023-12-18,21,26,4,3,1
104,1,2022-07-11,12,37,5,0,2
105,1,2023-05-22,36,62,4,5,1
106,1,2022-10-17,37,33,6,5,2
107,1,2024-02-12,43,45,5,0,2
108,1,2022-03-28,37,64,3,4,0
109,1,2024-06-24,42,50,3,5,0
110,1,2023-03-06,17,33,8,3,0
111,1,2023-06-26,25,51,4,2,0
112,1,2022-01-03,40,46,6,1,1
113,1,2022-08-22,43,58,6,3,2
114,1,2022-06-20,21,30,6,2,0
115,1,2022-09-05,27,53,8,2,2
116,1,2024-02-19,36,55,6,3,0
117,1,2023-06-19,29,67,1,1,0
118,1,2022-11-28,22,39,0,2,1
119,1,2024-03-04,26,39,5,2,1
120,1,2022-12-05,41,25,4,5,2
121,1,2022-03-21,11,68,8,5,0
122,1,2022-03-07,37,54,4,5,0
123,1,2022-12-05,38,28,2,4,2
124,1,2023-11-20,17,24,6,2,2
125,1,2023-07-10,25,40,0,1,1
126,1,2023-05-01,15,36,7,3,0
127,1,2023-05-22,29,25,0,5,2
128,1,2022-10-31,19,46,8,1,2
129,1,2023-02-27,12,42,4,4,2
130,1,2023-10-02,18,70,0,5,1
131,1,2022-02-07,19,40,2,0,1
132,1,2023-10-23,44,62,1,0,0
133,1,2023-01-23,26,35,3,1,2
134,1,2023-01-02,41,41,3,0,2
135,1,2024-05-13,34,53,5,3,0
136,1,2022-01-31,32,39,8,0,2
137,1,2023-09-11,23,40,6,1,2
138,1,2023-07-03,10,64,8,0,2
139,1,2023-01-23,14,68,4,1,1
140,1,2022-08-22,17,43,3,1,1
141,1,2022-06-20,27,30,4,3,2
142,1,2023-08-21,18,43,6,4,0
143,1,2022-09-12,37,59,8,3,0
144,1,2023-06-19,15,20,8,2,0
145,1,2022-01-10,28,52,2,0,2
146,1,2023-01-30,25,60,0,2,0
147,1,2024-02-05,31,62,2,5,0
148,1,2023-09-11,22,43,6,2,0
149,1,2024-06-03,35,49,5,4,0
150,1,2024-05-13,23,59,7,4,2
151,1,2022-12-05,25,41,6,5,1
152,1,2023-04-17,17,66,4,0,2
153,1,2022-04-04,15,49,8,1,1
154,1,2023-06-12,15,31,6,4,2
155,1,2022-01-24,30,63,1,1,1
156,1,2023-05-08,13,37,7,5,1
157,1,2022-10-17,12,53,3,0,2
158,1,2022-11-21,15,25,1,1,2
159,1,2022-07-11,20,38,1,5,0
160,1,2024-05-13,28,56,4,4,0
161,1,2022-08-29,17,48,5,2,2
162,1,2022-01-31,29,28,0,5,1
163,1,2023-07-31,14,60,1,3,2
164,1,2022-12-26,28,24,6,1,0
165,1,2023-08-07,37,33,5,3,0
166,1,2023-05-22,42,47,1,0,2
167,1,2022-07-11,43,56,1,3,2
168,1,2022-04-18,28,29,1,0,2
169,1,2023-08-14,16,43,6,2,1
170,1,2023-09-11,12,69,2,0,2
171,1,2022-07-18,27,44,7,5,2
172,1,2022-08-22,34,59,8,3,0
173,1,2023-08-28,17,65,5,0,1
174,1,2023-12-11,10,52,0,2,0
175,1,2022-04-18,22,48,5,5,1
176,1,2022-02-07,26,64,2,1,0
177,1,2023-05-22,14,60,1,5,1
178,1,2023-03-06,22,30,4,1,0
179,1,2023-07-03,40,32,5,1,2
180,1,2022-09-05,27,24,4,0,1
181,1,2022-03-21,22,21,7,5,2
182,1,2024-04-29,44,67,3,0,0
183,1,2023-07-24,24,26,5,3,2
184,1,2022-10-17,15,70,0,1,2
185,1,2022-09-19,36,24,8,1,1
186,1,2022-11-14,24,45,6,0,1
187,1,2022-11-14,17,32,0,5,1
188,1,2022-12-26,37,24,1,3,2
189,1,2022-02-28,18,69,3,4,0
190,1,2023-10-09,27,44,8,5,2
191,1,2022-09-19,13,26,5,5,1
192,1,2024-01-29,26,56,4,0,1
193,1,2022-07-25,37,56,1,0,1
194,1,2023-05-01,33,38,0,3,1
195,1,2023-09-11,34,24,5,2,1
196,1,2024-01-22,23,34,0,1,2
197,1,2024-04-15,20,32,2,5,0
198,1,2023-04-17,38,43,1,3,1
199,1,2023-05-01,21,38,0,3,0
200,1,2023-11-27,14,60,8,1,1
201,1,2023-04-24,37,20,5,2,2
202,1,2023-05-15,10,23,6,2,2
203,1,2022-07-04,38,57,1,1,2
204,1,2022-02-21,19,43,0,5,1
205,1,2023-02-13,27,45,0,2,1
206,1,2022-06-06,29,28,6,1,1
207,1,2022-03-07,43,23,8,2,1
208,1,2022-04-25,38,52,2,3,2
209,1,2022-08-08,41,28,1,1,2
210,1,2022-06-13,32,54,0,1,0
211,1,2022-06-27,24,59,5,4,2
212,1,2023-09-04,13,23,4,4,1
213,1,2024-01-29,34,41,2,0,0
214,1,2023-03-20,28,66,7,5,1
215,1,2024-06-17,30,65,1,5,2
216,1,2022-10-03,41,61,2,1,0
217,1,2024-02-12,25,21,1,5,2
218,1,2023-02-06,12,32,7,3,0
219,1,2023-02-06,42,48,8,0,2
220,1,2022-09-19,28,45,6,2,1
221,1,2023-04-17,37,50,1,1,2
222,1,2023-04-17,11,70,1,0,1
223,1,2024-02-05,43,70,1,2,0
224,1,2022-12-12,21,44,0,1,1
225,1,2022-02-21,43,28,7,2,2
226,1,2022-01-03,36,64,0,4,0
227,1,2023-08-28,15,51,3,1,1
228,1,2023-08-28,41,45,2,4,0
229,1,2023-06-05,32,37,7,4,0
230,1,2024-03-11,38,27,0,5,2
231,1,2022-12-05,36,36,5,0,2
232,1,2023-04-03,22,70,0,2,1
233,1,2022-11-21,40,20,6,3,1
234,1,2024-04-22,20,41,8,1,0
235,1,2022-05-02,23,22,3,3,2
236,1,2022-03-07,33,33,5,2,0
237,1,2022-03-28,30,41,7,2,0
238,1,2023-08-21,25,45,2,3,2
239,1,2023-01-09,27,20,8,5,2
240,1,2023-04-10,16,29,5,5,0
241,1,2023-03-27,29,65,3,1,2
242,1,2022-12-19,25,24,1,0,0
243,1,2023-10-02,17,40,7,0,0
244,1,2024-04-08,23,22,0,0,0
245,1,2023-03-06,17,52,0,3,1
246,1,2022-08-01,27,60,2,2,0
247,1,2022-03-07,43,60,0,2,2
248,1,2024-06-10,16,28,0,4,2
249,1,2023-07-24,17,57,0,5,1
250,1,2024-01-15,38,45,0,1,2
251,1,2023-01-30,32,21,5,2,2
252,1,2023-06-05,32,62,8,0,2
253,1,2023-09-18,15,62,8,3,0
254,1,2023-09-11,21,34,2,4,2
255,1,2024-06-03,28,47,7,3,1
256,1,2023-04-24,43,49,4,4,1
257,1,2024-01-01,14,42,4,0,1
258,1,2023-05-08,41,28,3,3,1
259,1,2022-09-19,45,42,3,0,0
260,1,2023-08-14,10,62,8,0,2
261,1,2023-10-30,22,32,4,4,2
262,1,2023-07-17,24,35,3,4,2
263,1,2022-10-31,22,25,7,3,2
264,1,2022-08-29,14,35,7,4,1
265,1,2024-06-03,43,27,0,5,1
266,1,2023-06-26,25,39,2,1,2
267,1,2022-04-25,23,52,4,4,1
268,1,2024-05-06,10,55,1,1,1
269,1,2023-01-23,14,46,0,0,0
270,1,2022-08-15,10,36,8,3,1
271,1,2023-12-11,22,67,1,4,0
272,1,2024-04-29,40,21,6,3,0
273,1,2022-05-16,33,41,4,5,2
274,1,2023-09-25,15,39,8,0,0
275,1,2023-08-28,12,26,2,4,2
276,1,2023-05-01,16,42,8,0,0
277,1,2022-06-06,42,21,4,1,2
278,1,2023-09-11,29,43,6,1,2
279,1,2023-04-03,43,66,1,4,2
280,1,2023-12-25,21,48,6,1,1
281,1,2023-05-01,24,63,4,0,1
282,1,2022-10-24,32,55,3,2,1
283,1,2023-08-28,36,66,1,0,0
284,1,2022-11-21,40,52,5,3,1
285,1,2023-10-09,32,34,8,2,2
286,1,2022-03-21,17,57,1,1,2
287,1,2022-02-21,13,55,1,3,0
288,1,2022-04-18,11,33,4,3,1
289,1,2024-01-29,36,38,2,5,2
290,1,2022-04-11,10,35,5,0,1
291,1,2023-10-02,38,35,8,2,2
292,1,2022-05-30,11,32,2,0,1
293,1,2024-05-13,18,27,5,5,2
294,1,2023-07-31,41,40,0,1,2
295,1,2022-05-16,22,21,2,2,0
296,1,2022-06-13,23,56,1,0,2
297,1,2022-03-14,20,50,4,5,2
298,1,2022-11-14,40,65,1,0,2
299,1,2023-03-20,26,52,5,3,0
300,1,2023-04-24,35,70,4,3,1
301,1,2024-06-24,40,33,1,4,2
302,1,2024-05-06,17,58,1,1,1
303,1,2022-11-14,21,28,0,2,1
304,1,2023-05-01,19,36,5,1,0
305,1,2023-12-04,29,37,4,0,2
306,1,2022-06-13,12,52,6,2,1
307,1,2024-04-15,32,48,4,1,0
308,1,2023-05-01,17,56,0,3,2
309,1,2023-12-25,11,26,6,0,1
310,1,2022-11-14,25,53,0,3,0
311,1,2023-08-21,14,61,8,2,1
312,1,2024-03-04,17,21,7,0,1
313,1,2023-01-23,29,63,2,1,2
314,1,2023-11-20,10,33,7,5,1
315,1,2022-04-18,24,31,7,2,0
316,1,2022-03-07,16,49,1,3,2
317,1,2023-12-18,14,42,3,3,0
318,1,2022-07-18,29,53,7,2,0
319,1,2023-03-06,40,21,6,2,1
320,1,2022-10-10,16,67,0,5,2
321,1,2022-07-11,35,64,5,2,1
322,1,2023-12-04,15,42,3,5,2
323,1,2022-10-17,31,68,2,3,1
324,1,2022-06-27,24,66,3,0,1
325,1,2022-12-19,34,24,7,5,1
326,1,2023-01-16,14,37,2,2,1
327,1,2022-10-24,28,69,7,0,0
328,1,2022-10-17,16,29,3,5,0
329,1,2023-05-29,37,47,2,0,0
330,1,2022-08-01,39,56,1,4,0
331,1,2023-04-03,16,58,3,5,0
332,1,2023-12-25,31,24,6,4,2
333,1,2022-08-08,41,46,2,3,1
334,1,2022-10-31,43,28,1,4,2
335,1,2024-02-26,24,23,4,1,0
336,1,2022-02-14,39,53,6,1,0
337,1,2023-07-31,37,44,1,5,2
338,1,2022-09-26,20,44,8,0,0
339,1,2024-03-04,22,51,6,5,1
340,1,2023-10-02,25,27,7,5,2
341,1,2023-05-08,22,64,3,2,2
342,1,2023-06-26,31,22,3,5,1
343,1,2022-10-24,33,36,7,3,2
344,1,2024-03-25,31,60,0,0,1
345,1,2023-10-02,45,38,5,1,0
346,1,2022-12-12,37,47,1,1,2
347,1,2023-12-04,21,33,2,3,2
348,1,2024-06-24,41,55,6,5,0
349,1,2022-02-07,19,23,6,0,1
350,1,2024-02-12,14,33,1,3,1
351,1,2023-06-12,21,30,0,3,2
352,1,2022-05-02,14,51,1,0,0
353,1,2023-01-30,37,33,0,2,0
354,1,2023-04-10,41,58,6,1,2
355,1,2023-04-24,30,55,3,4,2
356,1,2023-11-20,45,35,3,1,1
357,1,2022-10-03,16,62,8,3,1
358,1,2023-03-20,11,38,3,2,1
359,1,2023-02-06,17,39,0,0,1
360,1,2023-01-02,24,27,0,3,0
361,1,2022-01-31,12,37,1,5,1
362,1,2024-01-29,37,58,2,5,2
363,1,2024-02-05,18,36,4,5,2
364,1,2023-09-04,10,26,6,5,1
365,2,2024-04-22,43,51,8,2,2
366,2,2022-04-11,13,30,1,0,0
367,2,2022-06-06,12,56,3,4,0
368,2,2024-01-22,18,70,4,3,0
369,2,2022-09-05,26,20,0,5,0
370,2,2023-10-16,34,22,4,1,1
371,2,2023-01-30,23,64,2,2,0
372,2,2022-01-24,45,20,4,5,2
373,2,2022-08-15,44,29,3,3,0
374,2,2022-08-22,28,62,2,3,1
375,2,2022-10-31,36,30,7,0,2
376,2,2023-03-06,41,44,7,3,2
377,2,2022-07-18,29,30,6,4,1
378,2,2022-02-14,43,51,1,2,2
379,2,2023-02-27,39,21,3,2,2
380,2,2022-06-27,44,69,4,1,0
381,2,2022-11-14,27,26,4,0,2
382,2,2022-10-24,23,64,1,1,1
383,2,2022-07-04,33,34,8,4,2
384,2,2023-05-08,10,37,7,5,2
385,2,2024-06-24,24,61,3,3,1
386,2,2022-04-25,37,50,4,5,1
387,2,2023-09-11,37,49,2,3,0
388,2,2023-03-13,32,27,0,3,0
389,2,2022-11-21,45,36,0,5,2
390,2,2022-02-07,30,30,5,3,2
391,2,2022-11-14,11,60,2,2,1
392,2,2023-01-16,42,45,1,5,1
393,2,2023-05-08,37,42,2,0,0
394,2,2023-01-16,14,70,8,0,2
395,2,2023-01-02,37,54,5,5,1
396,2,2024-02-26,23,29,4,5,0
397,2,2022-05-02,41,55,6,4,2
398,2,2023-07-31,17,62,6,1,0
399,2,2024-02-12,34,40,5,5,2
400,2,2023-06-26,20,44,8,5,0
401,2,2024-05-13,25,48,4,3,0
402,2,2022-12-26,15,59,3,0,1
403,2,2024-05-20,32,34,7,0,2
404,2,2023-07-10,25,61,0,4,1
405,2,2023-03-27,37,43,2,5,1
406,2,2022-12-12,29,43,6,0,0
407,2,2022-09-12,14,41,2,3,1
408,2,2022-11-28,37,41,1,2,2
409,2,2023-08-14,42,56,8,2,0
410,2,2023-12-04,20,67,3,2,2
411,2,2024-01-01,30,26,5,0,1
412,2,2022-03-14,27,31,8,4,1
413,2,2024-03-04,13,29,0,3,2
414,2,2024-05-06,37,66,0,1,0
415,2,2023-06-19,22,26,3,5,1
416,2,2024-03-11,33,50,3,0,1
417,2,2022-01-17,12,50,4,0,2
418,2,2023-07-10,11,57,3,3,2
419,2,2023-10-16,32,52,7,0,1
420,2,2023-04-10,34,36,5,3,1
421,2,2022-01-10,18,52,6,4,0
422,2,2022-06-27,10,69,4,0,2
423,2,2023-11-13,36,38,5,1,2
424,2,2023-04-24,43,24,1,1,1
425,2,2024-04-01,18,55,8,3,1
426,2,2023-03-06,25,45,2,1,2
427,2,2024-06-17,39,48,6,3,2
428,2,2022-04-18,42,36,1,5,2
429,2,2023-07-17,19,66,6,0,0
430,2,2024-05-13,21,59,6,0,0
431,2,2024-06-17,40,68,1,1,0
432,2,2023-07-10,15,44,4,1,2
433,2,2023-07-17,17,53,1,0,1
434,2,2022-03-21,27,51,3,4,1
435,2,2023-10-30,44,33,3,5,0
436,2,2024-06-10,37,59,3,5,0
437,2,2024-02-26,14,43,1,2,2
438,2,2023-10-23,12,46,4,4,2
439,2,2022-02-14,27,52,1,3,0
440,2,2022-07-11,28,38,4,2,0
441,2,2023-01-02,30,63,7,5,1
442,2,2024-01-08,38,48,8,1,0
443,2,2023-08-14,19,21,1,0,0
444,2,2023-10-09,39,20,2,4,1
445,2,2023-03-06,29,31,7,3,0
446,2,2023-10-02,12,47,6,4,1
447,2,2022-09-26,26,64,8,0,1
448,2,2023-09-18,34,43,4,5,2
449,2,2023-06-26,12,33,7,2,2
450,2,2022-10-31,23,52,2,2,2
451,2,2023-09-04,30,26,7,1,0
452,2,2022-08-22,40,63,4,1,0
453,2,2023-04-10,35,26,8,2,2
454,2,2024-06-03,22,67,6,1,1
455,2,2022-04-11,27,41,6,3,0
456,2,2022-03-14,43,30,0,3,0
457,2,2024-02-05,11,51,4,4,1
458,2,2022-01-03,40,23,2,5,1
459,2,2023-09-11,39,60,2,0,1
460,2,2022-04-11,34,22,0,3,2
461,2,2022-04-11,15,23,8,2,1
462,2,2024-05-13,40,55,0,2,0
463,2,2022-02-21,38,38,0,5,1
464,2,2022-07-04,41,62,5,5,1
465,2,2022-09-19,43,50,3,3,1
466,2,2023-10-30,12,70,5,4,0
467,2,2022-08-08,26,53,3,5,2
468,2,2023-09-25,24,65,8,1,0
469,2,2023-12-25,26,59,7,1,1
470,2,2023-12-25,36,55,2,5,0
471,2,2022-05-23,41,44,6,2,2
472,2,2022-03-21,34,50,7,5,1
473,2,2024-01-01,20,70,0,1,2
474,2,2024-02-12,32,33,2,2,2
475,2,2024-02-12,17,32,4,2,2
476,2,2023-01-23,11,26,0,3,0
477,2,2022-07-25,27,20,5,0,1
478,2,2024-04-15,40,22,0,0,2
479,2,2024-03-04,43,68,2,3,2
480,2,2023-07-03,31,23,8,3,2
481,2,2023-06-26,39,54,2,1,2
482,2,2022-03-14,40,25,2,0,0
483,2,2023-05-29,13,31,3,1,1
484,2,2022-03-21,44,20,7,3,1
485,2,2022-01-10,33,52,7,2,0
486,2,2022-06-27,14,28,3,0,1
487,2,2022-01-10,39,62,7,4,1
488,2,2023-02-06,37,49,6,5,2
489,2,2024-03-11,23,31,5,2,0
490,2,2022-07-25,36,54,2,4,0
491,2,2023-09-25,13,70,4,0,1
492,2,2022-09-12,15,50,2,2,1
493,2,2022-06-06,44,35,8,0,0
494,2,2022-06-06,41,55,4,4,0
495,2,2022-04-04,15,69,4,1,0
496,2,2022-10-03,35,44,4,4,0
497,2,2023-09-25,30,30,1,2,1
498,2,2023-12-25,14,52,0,5,2
499,2,2023-03-20,18,56,5,3,1
500,2,2022-09-19,19,53,3,3,1
501,2,2022-08-22,12,23,6,2,0
502,2,2023-12-11,39,64,8,4,0
503,2,2022-10-03,35,46,8,0,0
504,2,2022-02-07,28,31,4,1,2
505,2,2023-05-01,12,35,8,5,1
506,2,2023-05-01,16,47,7,4,1
507,2,2024-01-15,13,21,1,3,2
508,2,2023-03-13,10,70,6,4,1
509,2,2023-08-07,29,63,8,3,1
510,2,2022-05-30,16,31,6,3,2
511,2,2023-01-02,20,51,0,2,0
512,2,2024-06-17,41,26,6,1,0
513,2,2024-03-18,28,48,3,0,0
514,2,2022-03-21,16,35,8,1,2
515,2,2022-12-12,33,29,4,1,0
516,2,2023-09-11,42,46,2,1,2
517,2,2022-01-24,34,50,1,3,1
518,2,2024-04-15,30,57,0,1,1
519,2,2022-08-01,43,51,8,2,2
520,2,2022-11-28,34,21,5,0,2
521,2,2024-01-08,41,33,8,1,0
522,2,2023-01-02,32,57,8,2,0
523,2,2024-01-08,35,32,2,4,1
524,2,2023-06-05,22,57,4,2,2
525,2,2022-05-30,11,68,1,5,0
526,2,2024-03-18,39,57,2,0,1
527,2,2023-04-03,29,40,0,1,0
528,2,2024-02-26,37,26,4,3,1
529,2,2024-01-22,22,40,4,2,1
530,2,2023-02-20,15,40,3,4,2
531,2,2024-03-11,31,40,8,1,2
532,2,2022-07-18,16,29,0,3,0
533,2,2023-01-09,10,50,2,1,2
534,2,2022-07-04,10,63,5,3,2
535,2,2024-05-13,19,30,3,0,2
536,2,2023-09-25,12,67,3,2,1
537,2,2022-09-12,32,41,1,1,0
538,2,2022-06-06,12,21,6,2,0
539,2,2024-05-20,16,52,1,0,0
540,2,2022-02-28,22,70,3,4,2
541,2,2022-12-05,44,31,8,1,0
542,2,2024-05-06,22,65,7,2,2
543,2,2023-02-27,22,33,4,1,0
544,2,2022-01-10,22,63,2,0,1
545,2,2023-12-11,18,57,3,3,2
546,2,2023-05-15,21,37,5,4,2
547,2,2022-02-07,13,60,1,0,0
548,2,2023-09-18,39,66,1,2,2
549,2,2023-09-04,14,47,4,3,2
550,2,2023-12-25,32,25,6,0,2
551,2,2024-04-29,21,48,8,5,1
552,2,2023-11-13,41,33,2,4,1
553,2,2023-12-11,43,54,5,4,2
554,2,2022-07-11,27,41,3,5,2
555,2,2022-07-18,17,29,0,2,2
556,2,2022-11-28,42,20,8,0,1
557,2,2022-11-28,29,23,0,1,2
558,2,2023-02-27,12,56,6,0,0
559,2,2024-05-27,15,22,8,4,2
560,2,2023-11-27,14,20,0,3,0
561,2,2023-06-12,28,41,8,5,0
562,2,2023-09-11,26,39,2,2,2
563,2,2024-06-10,20,32,2,2,2
564,2,2022-09-19,33,42,6,5,2
565,2,2022-05-23,20,38,4,0,1
566,2,2023-05-08,31,52,4,2,1
567,2,2023-02-13,43,31,1,5,0
568,2,2022-04-25,41,23,3,4,0
569,2,2022-05-02,11,31,4,5,2
570,2,2024-01-29,21,25,1,4,0
571,2,2022-08-22,36,23,0,2,1
572,2,2024-04-15,11,37,6,1,1
573,2,2023-12-25,45,39,1,2,0
574,2,2023-01-30,15,62,5,0,1
575,2,2023-05-08,34,55,8,1,2
576,2,2023-06-05,41,44,5,5,0
577,2,2022-11-07,29,39,7,5,0
578,2,2022-10-10,34,35,1,4,0
579,2,2024-03-18,30,33,7,2,2
580,2,2023-05-15,39,34,8,4,1
581,2,2024-02-05,42,65,1,3,1
582,2,2024-02-12,38,66,2,3,2
583,2,2022-05-16,24,61,1,0,1
584,2,2024-02-19,24,47,4,4,1
585,2,2024-01-22,38,56,4,5,1
586,2,2022-09-26,38,35,5,3,0
587,2,2022-07-25,19,53,5,4,0
588,2,2024-04-22,17,33,7,5,0
589,2,2022-06-13,26,64,1,4,0
590,2,2022-03-14,34,29,5,0,1
591,2,2024-04-29,23,22,0,4,2
592,2,2022-02-07,39,39,8,1,0
593,2,2022-05-23,36,45,1,5,0
594,2,2022-11-21,34,43,1,3,2
595,2,2023-01-16,32,65,5,1,0
596,2,2023-11-27,13,31,1,3,2
597,2,2024-03-25,25,36,5,2,1
598,2,2022-03-14,26,53,6,3,1
599,2,2022-07-11,18,35,8,3,2
600,2,2022-03-28,35,29,5,2,1
601,2,2023-12-11,19,30,7,0,0
602,2,2023-01-02,20,55,5,2,2
603,2,2022-08-01,44,55,3,4,1
604,2,2023-02-27,16,68,2,5,1
605,2,2023-04-03,35,31,3,1,2
606,2,2024-03-25,40,58,5,0,2
607,2,2023-10-23,44,58,8,1,0
608,2,2023-02-13,30,28,6,4,0
609,2,2022-04-18,26,63,0,0,2
610,2,2023-08-28,23,52,7,5,2
611,2,2022-01-03,28,67,6,3,0
612,2,2023-04-03,45,61,5,4,2
613,2,2023-03-27,24,38,0,1,0
614,2,2024-01-01,23,70,6,5,0
615,2,2023-01-02,40,48,2,3,0
616,2,2022-03-07,40,35,6,2,2
617,2,2023-06-26,44,31,3,3,2
618,2,2022-04-25,30,38,7,1,0
619,2,2023-05-08,39,36,2,5,2
620,2,2022-04-11,28,30,2,4,1
621,2,2023-11-06,38,49,8,2,2
622,2,2024-04-01,16,28,2,2,0
623,2,2024-01-01,22,65,4,1,1
624,2,2024-05-20,17,41,1,0,1
625,2,2022-03-21,11,38,3,0,0
626,2,2024-01-15,12,42,1,3,2
627,2,2022-01-31,24,60,5,1,0
628,2,2024-06-24,17,69,2,5,0
629,2,2023-12-18,39,49,8,2,1
630,2,2023-10-30,42,59,5,1,2
631,2,2022-11-14,36,63,2,5,0
632,2,2023-02-20,12,66,3,2,2
633,2,2022-01-10,11,39,0,0,1
634,2,2022-03-14,19,30,2,3,2
635,2,2023-04-03,38,70,1,3,1
636,2,2024-05-27,18,21,1,1,1
637,2,2022-05-23,34,42,1,4,2
638,2,2024-03-25,20,66,3,5,1
639,2,2023-02-20,22,48,3,4,1
640,2,2023-05-15,33,26,0,3,2
641,2,2024-04-15,22,69,8,0,1
642,2,2023-05-08,19,33,4,3,1
643,2,2024-04-01,17,59,5,1,1
644,2,2024-02-26,14,34,2,2,0
645,2,2023-11-27,17,53,3,3,2
646,2,2024-03-11,11,36,6,1,1
647,2,2023-09-11,12,47,1,5,2
648,2,2024-02-19,23,66,2,1,2
649,2,2023-07-17,12,67,4,0,0
650,2,2023-03-06,38,24,8,2,2
651,2,2023-02-20,35,24,5,4,2
652,2,2023-03-20,40,32,7,0,1
653,2,2022-04-11,37,32,2,4,0
654,2,2023-05-29,43,69,7,0,0
655,2,2024-06-24,33,31,6,0,1
656,2,2023-09-04,14,22,4,3,2
657,2,2022-05-30,18,46,8,2,0
658,2,2023-03-06,26,27,3,1,0
659,2,2023-11-20,41,50,0,5,1
660,2,2022-06-20,35,45,2,3,1
661,2,2023-10-02,17,36,8,3,2
662,2,2024-04-08,31,38,3,5,2
